# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_fld            13:(.)w_fld              14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       1.000000000000e+14       7.559518509164e-26       4.634785000235e-09       2.157256292800e+22       1.450420799504e+04       1.450420799504e-10       1.450420799504e+18       2.676317464534e-09       2.751560535470e+44       1.997874440650e+33       1.298618386422e+34       3.495814895666e-08      -1.000000000000e+00       1.902194177205e+44       4.653754712825e+44       4.653754712825e+44       1.551251570892e+44      -1.338578885209e+53       5.764555830470e-06       2.000000000000e+00 
       9.893085837570e+13       7.723792208831e-26       4.685716703534e-09       2.111374631022e+22       1.450420799504e+04       1.466095436063e-10       1.434913747009e+18       2.705240316113e-09       2.635761930281e+44       1.934476786707e+33       1.257409911360e+34       3.495814895666e-08      -1.000000000000e+00       1.822140902098e+44       4.457902832525e+44       4.457902832525e+44       1.485967610793e+44      -1.268536174642e+53       5.888482022214e-06       1.957908951181e+00 
       9.787314738953e+13       7.891635675387e-26       4.736648406833e-09       2.066468804566e+22       1.450420799504e+04       1.481939467760e-10       1.419572486867e+18       2.734475734725e-09       2.524836674885e+44       1.873090902095e+33       1.217509086362e+34       3.495814895666e-08      -1.000000000000e+00       1.745456645219e+44       4.270293320244e+44       4.270293320244e+44       1.423431106701e+44      -1.202158531079e+53       6.012408213945e-06       1.917553041712e+00 
       9.682674483178e+13       8.063126489078e-26       4.787580110133e-09       2.022518058852e+22       1.450420799504e+04       1.497954725241e-10       1.404395246523e+18       2.764027098842e-09       2.418579675807e+44       1.813652948239e+33       1.178874416355e+34       3.495814895666e-08      -1.000000000000e+00       1.671999622440e+44       4.090579298382e+44       4.090579298382e+44       1.363526432749e+44      -1.139254175589e+53       6.136334405667e-06       1.878827146122e+00 
       9.579152979933e+13       8.238343922808e-26       4.838511813432e-09       1.979502080720e+22       1.450420799504e+04       1.514143058935e-10       1.389380272373e+18       2.793897823455e-09       2.316794470871e+44       1.756101112325e+33       1.141465723011e+34       3.495814895666e-08      -1.000000000000e+00       1.601634016574e+44       3.918428487576e+44       3.918428487576e+44       1.306142829148e+44      -1.079641364297e+53       6.260260597392e-06       1.841634462244e+00 
       9.476738268169e+13       8.417368954576e-26       4.891262506135e-09       1.937400989043e+22       1.450420799504e+04       1.530506339271e-10       1.374525829561e+18       2.824091359696e-09       2.219292865953e+44       1.700375543019e+33       1.105244102963e+34       3.495814895666e-08      -1.000000000000e+00       1.534229726263e+44       3.753522592343e+44       3.753522592343e+44       1.251174197405e+44      -1.023147863294e+53       6.384186789114e-06       1.805885704713e+00 
       9.375418514718e+13       8.600284325767e-26       4.944013198838e-09       1.896195325532e+22       1.450420799504e+04       1.547046456889e-10       1.359830201781e+18       2.854611196177e-09       2.125894587024e+44       1.646418288221e+33       1.070171887344e+34       3.495814895666e-08      -1.000000000000e+00       1.469662125423e+44       3.595556712570e+44       3.595556712570e+44       1.198518904149e+44      -9.696104510072e+52       6.508112980835e-06       1.771498388655e+00 
       9.275182012925e+13       8.787174577810e-26       4.998582880944e-09       1.855866045752e+22       1.450420799504e+04       1.563765322862e-10       1.345291691074e+18       2.885460859271e-09       2.036426946831e+44       1.594173234800e+33       1.036212602620e+34       3.495814895666e-08      -1.000000000000e+00       1.407811832824e+44       3.444238779775e+44       3.444238779775e+44       1.148079593218e+44      -9.188744466279e+52       6.632039172556e-06       1.738396194400e+00 
       9.176017181296e+13       8.978126095015e-26       5.051333573647e-09       1.816394510311e+22       1.450420799504e+04       1.580664868916e-10       1.330908617636e+18       2.916643913476e-09       1.950724525616e+44       1.543586050236e+33       1.003330932653e+34       3.495814895666e-08      -1.000000000000e+00       1.348564491358e+44       3.299289017089e+44       3.299289017089e+44       1.099763005658e+44      -8.707932632003e+52       6.755965364276e-06       1.706508402067e+00 
       9.077912562158e+13       9.173227129480e-26       5.105903255753e-09       1.777762476253e+22       1.450420799504e+04       1.597747047654e-10       1.316679319624e+18       2.948163961690e-09       1.868628865258e+44       1.494604126121e+33       9.714926819786e+33       3.495814895666e-08      -1.000000000000e+00       1.291810556602e+44       3.160439421972e+44       3.160439421972e+44       1.053479807287e+44      -8.252279841036e+52       6.879891555992e-06       1.675769387306e+00 
       8.980856820338e+13       9.372567846678e-26       5.162291927263e-09       1.739952088619e+22       1.450420799504e+04       1.615013832778e-10       1.302602152959e+18       2.980024645721e-09       1.789988176302e+44       1.447176523444e+33       9.406647402388e+33       3.495814895666e-08      -1.000000000000e+00       1.237445094279e+44       3.027433270690e+44       3.027433270690e+44       1.009144423527e+44      -7.820469616920e+52       7.003817747703e-06       1.646118170433e+00 
       8.884838741853e+13       9.576240376623e-26       5.216861609370e-09       1.702945872202e+22       1.450420799504e+04       1.632467219323e-10       1.288675491143e+18       3.012229646801e-09       1.714657057307e+44       1.401253919621e+33       9.108150477536e+33       3.495814895666e-08      -1.000000000000e+00       1.185367586236e+44       2.900024643649e+44       2.900024643649e+44       9.666748811811e+43      -7.411254369373e+52       7.127743939410e-06       1.617498012609e+00 
       8.789847232612e+13       9.784338856406e-26       5.273250280879e-09       1.666726723464e+22       1.450420799504e+04       1.650109223882e-10       1.274897725065e+18       3.044782685991e-09       1.642496226007e+44       1.356788557197e+33       8.819125621778e+33       3.495814895666e-08      -1.000000000000e+00       1.135481744601e+44       2.777977970709e+44       2.777977970709e+44       9.259926568692e+43      -7.023451789739e+52       7.251670131111e-06       1.589856053481e+00 
       8.695871317136e+13       9.996959462977e-26       5.331457941793e-09       1.631277902637e+22       1.450420799504e+04       1.667941884842e-10       1.261267262819e+18       3.077687524505e-09       1.573372261788e+44       1.313734194184e+33       8.539272262193e+33       3.495814895666e-08      -1.000000000000e+00       1.087695333746e+44       2.661067595632e+44       2.661067595632e+44       8.870225318445e+43      -6.655941435047e+52       7.375596322808e-06       1.563142985411e+00 
       8.602900137289e+13       1.021420046246e-25       5.387846613303e-09       1.596583025981e+22       1.450420799504e+04       1.685967262618e-10       1.247782529518e+18       3.110947964198e-09       1.507157359005e+44       1.272046055970e+33       8.268299363804e+33       3.495814895666e-08      -1.000000000000e+00       1.041919999751e+44       2.549077358851e+44       2.549077358851e+44       8.496924529186e+43      -6.307661490822e+52       7.499522514500e-06       1.537312759906e+00 
       8.510922951025e+13       1.043616225894e-25       5.446054274216e-09       1.562626058215e+22       1.450420799504e+04       1.704187439894e-10       1.234441967115e+18       3.144567848033e-09       1.443729090674e+44       1.231680788757e+33       8.005925126918e+33       3.495814895666e-08      -1.000000000000e+00       9.980711070464e+43       2.441800197813e+44       2.441800197813e+44       8.139333992402e+43      -5.977605703274e+52       7.623448706186e-06       1.512322322708e+00 
       8.419929131143e+13       1.066294744230e-25       5.506080924533e-09       1.529391305104e+22       1.450420799504e+04       1.722604521859e-10       1.221244034216e+18       3.178551060538e-09       1.382970182115e+44       1.192596414471e+33       7.751876694064e+33       3.495814895666e-08      -1.000000000000e+00       9.560675819248e+43       2.339037764129e+44       2.339037764129e+44       7.796792546798e+43      -5.664820472025e+52       7.747374897865e-06       1.488131374309e+00 
       8.329908164066e+13       1.089466082149e-25       5.564288585447e-09       1.496863406208e+22       1.450420799504e+04       1.741220636455e-10       1.208187205912e+18       3.212901528127e-09       1.324768294116e+44       1.154752287113e+33       7.505889866236e+33       3.495814895666e-08      -1.000000000000e+00       9.158317626413e+43       2.240600056844e+44       2.240600056844e+44       7.468666855858e+43      -5.368402094956e+52       7.871301089537e-06       1.464702153154e+00 
