# Matter power spectrum P(k) at redshift z=1
# for k=1.02904e-05 to 30.0428 h/Mpc,
# number of wavenumbers equal to 2796
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.029037444818e-05       1.861414613339e+01 
       1.033787265851e-05       1.869722321055e+01 
       1.038559011063e-05       1.878067569223e+01 
       1.043352781650e-05       1.886448956359e+01 
       1.048168679276e-05       1.894868394412e+01 
       1.053006806076e-05       1.903325378991e+01 
       1.057867264655e-05       1.911820816285e+01 
       1.062750158091e-05       1.920353405843e+01 
       1.067655589939e-05       1.928923860285e+01 
       1.072583664232e-05       1.937532268652e+01 
       1.077534485482e-05       1.946179923109e+01 
       1.082508158685e-05       1.954866849688e+01 
       1.087504789320e-05       1.963591068808e+01 
       1.092524483354e-05       1.972354754130e+01 
       1.097567347243e-05       1.981157619177e+01 
       1.102633487934e-05       1.989999998823e+01 
       1.107723012869e-05       1.998880916905e+01 
       1.112836029983e-05       2.007802236995e+01 
       1.117972647711e-05       2.016764011059e+01 
       1.123132974990e-05       2.025765058911e+01 
       1.128317121257e-05       2.034806015810e+01 
       1.133525196457e-05       2.043887058551e+01 
       1.138757311039e-05       2.053009087402e+01 
       1.144013575964e-05       2.062171981663e+01 
       1.149294102707e-05       2.071375876271e+01 
       1.154599003253e-05       2.080620411106e+01 
       1.159928390108e-05       2.089906806018e+01 
       1.165282376294e-05       2.099233770254e+01 
       1.170661075359e-05       2.108602960028e+01 
       1.176064601369e-05       2.118014081903e+01 
       1.181493068923e-05       2.127467570494e+01 
       1.186946593145e-05       2.136961806847e+01 
       1.192425289690e-05       2.146499779084e+01 
       1.197929274750e-05       2.156079214635e+01 
       1.203458665051e-05       2.165702007896e+01 
       1.209013577857e-05       2.175367751778e+01 
       1.214594130977e-05       2.185076633844e+01 
       1.220200442758e-05       2.194828806147e+01 
       1.225832632100e-05       2.204624735296e+01 
       1.231490818446e-05       2.214464123035e+01 
       1.237175121794e-05       2.224347365677e+01 
       1.242885662694e-05       2.234275773429e+01 
       1.248622562253e-05       2.244246522604e+01 
       1.254385942137e-05       2.254262834415e+01 
       1.260175924574e-05       2.264323852294e+01 
       1.265992632356e-05       2.274430184554e+01 
       1.271836188841e-05       2.284580687175e+01 
       1.277706717957e-05       2.294777031730e+01 
       1.283604344204e-05       2.305018842970e+01 
       1.289529192657e-05       2.315306893653e+01 
       1.295481388969e-05       2.325640356759e+01 
       1.301461059370e-05       2.336019358801e+01 
       1.307468330675e-05       2.346446036447e+01 
       1.313503330285e-05       2.356917850505e+01 
       1.319566186188e-05       2.367436854193e+01 
       1.325657026962e-05       2.378003422595e+01 
       1.331775981779e-05       2.388616133167e+01 
       1.337923180409e-05       2.399276740563e+01 
       1.344098753218e-05       2.409984943383e+01 
       1.350302831177e-05       2.420741184309e+01 
       1.356535545858e-05       2.431545229105e+01 
       1.362797029443e-05       2.442397431655e+01 
       1.369087414722e-05       2.453297789116e+01 
