# Matter power spectrum P(k) at redshift z=0
# for k=1.02904e-05 to 1030.09 h/Mpc,
# number of wavenumbers equal to 142
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.029037444818e-05       3.712838217613e+01 
       1.295481388969e-05       4.674176219329e+01 
       1.630914441079e-05       5.884425697133e+01 
       2.053199634336e-05       7.408023551362e+01 
       2.584825195153e-05       9.326086400184e+01 
       3.254102123223e-05       1.174072217715e+02 
       4.096671855499e-05       1.478044511958e+02 
       5.157404302670e-05       1.860698256855e+02 
       6.492787335528e-05       2.342381495204e+02 
       8.173934970071e-05       2.948686902041e+02 
       1.029037444818e-04       3.711785224412e+02 
       1.295481388969e-04       4.672081718221e+02 
       1.630914441079e-04       5.880255971918e+02 
       2.053199634336e-04       7.399742346524e+02 
       2.584825195153e-04       9.309690667505e+02 
       3.254102123223e-04       1.170839547836e+03 
       4.096671855499e-04       1.471710782817e+03 
       5.157404302670e-04       1.848401202738e+03 
       6.492787335528e-04       2.318803085104e+03 
       8.173934970071e-04       2.904189485305e+03 
       1.029037444818e-03       3.629319018018e+03 
       1.295481388969e-03       4.522054351336e+03 
       1.630914441079e-03       5.612090612097e+03 
       2.053199634336e-03       6.928526950798e+03 
       2.584825195153e-03       8.495896868351e+03 
       3.254102123223e-03       1.032771429078e+04 
       4.096671855499e-03       1.241760074358e+04 
       5.157404302670e-03       1.472745079169e+04 
       6.492787335528e-03       1.717389621332e+04 
       8.173934970071e-03       1.961281758045e+04 
       1.029037444818e-02       2.182339097425e+04 
       1.295481388969e-02       2.350205433116e+04 
       1.630914441076e-02       2.427622219460e+04 
       2.053199615056e-02       2.377769379964e+04 
       2.584811121065e-02       2.182730934185e+04 
       3.252219508374e-02       1.872782106783e+04 
       4.035924124102e-02       1.556592175173e+04 
       4.691280645153e-02       1.371603519135e+04 
       5.167556040224e-02       1.276512082776e+04 
       5.561174783101e-02       1.214342278348e+04 
       5.913027339442e-02       1.165482793737e+04 
       6.241409947084e-02       1.121772611170e+04 
       6.556034575744e-02       1.079099494364e+04 
       6.862736629248e-02       1.035415938843e+04 
       7.165355129605e-02       9.897817615749e+03 
       7.466599016465e-02       9.420479550609e+03 
       7.768491414796e-02       8.927348242046e+03 
       8.072616855069e-02       8.427419873641e+03 
       8.380267926300e-02       7.930694769886e+03 
       8.692536844474e-02       7.450856390641e+03 
       9.010375064566e-02       6.999492782354e+03 
       9.334633446865e-02       6.586571440025e+03 
       9.666090101642e-02       6.219579374655e+03 
       1.000547014885e-01       5.902167205622e+03 
       1.035346000828e-01       5.633508053652e+03 
       1.071071788840e-01       5.409166193486e+03 
       1.107788157000e-01       5.219930132436e+03 
       1.145557422488e-01       5.053567936583e+03 
       1.184440878327e-01       4.896135197437e+03 
       1.224499121670e-01       4.733692707323e+03 
       1.265792300624e-01       4.553831105170e+03 
       1.308380300188e-01       4.349554745156e+03 
       1.352322883572e-01       4.120682706491e+03 
       1.397679802358e-01       3.873763690939e+03 
       1.444510887056e-01       3.620985078587e+03 
       1.492876128428e-01       3.377194962010e+03 
       1.542835759152e-01       3.156423729534e+03 
       1.594450344925e-01       2.968033074924e+03 
       1.647780893818e-01       2.814612902620e+03 
       1.702888992465e-01       2.690994306590e+03 
       1.759836977593e-01       2.586102571289e+03 
       1.818688151258e-01       2.484894116987e+03 
       1.879507048166e-01       2.375633998971e+03 
       1.942359763438e-01       2.249803761128e+03 
       2.007314349361e-01       2.109500019102e+03 
       2.074441289939e-01       1.965196943761e+03 
       2.143814062693e-01       1.830314139522e+03 
       2.215509798061e-01       1.714090139711e+03 
       2.289610048268e-01       1.618438670913e+03 
       2.366201679624e-01       1.538504721458e+03 
       2.445377905266e-01       1.464954805077e+03 
       2.527239479448e-01       1.387736191253e+03 
       2.611896080073e-01       1.303597181209e+03 
       2.699467913582e-01       1.216446646605e+03 
       2.790087586093e-01       1.134136077289e+03 
       2.883902297727e-01       1.062599820007e+03 
       2.981076434192e-01       1.001809254279e+03 
       3.081794652654e-01       9.458528224356e+02 
       3.186265589647e-01       8.893713417888e+02 
       3.294726360528e-01       8.311503920550e+02 
       3.407448077228e-01       7.746095135426e+02 
       3.524742690742e-01       7.236261261265e+02 
       3.646971577169e-01       6.780305816250e+02 
       3.774556447355e-01       6.348374819240e+02 
       3.907993395213e-01       5.917826625695e+02 
       4.047871249095e-01       5.501391375548e+02 
       4.194895920107e-01       5.115037049696e+02 
       4.349923262145e-01       4.755500317325e+02 
       4.514004262403e-01       4.409798807568e+02 
       4.688448509574e-01       4.074182841324e+02 
       4.874915468070e-01       3.756143575851e+02 
       5.075549320135e-01       3.455088057938e+02 
       5.293184412502e-01       3.162465652196e+02 
       5.531669643551e-01       2.880909853716e+02 
       5.796402401750e-01       2.608695451205e+02 
       6.095251420366e-01       2.342137132050e+02 
       6.440246409811e-01       2.080200554271e+02 
       6.850887932276e-01       1.818938061735e+02 
       7.361149868681e-01       1.554401794195e+02 
       8.035485016592e-01       1.281000228045e+02 
       9.006619609775e-01       9.929898814264e+01 
       1.054470056588e+00       6.950774329702e+01 
       1.298841793321e+00       4.302846129936e+01 
       1.632615443483e+00       2.518143127527e+01 
       2.055294548167e+00       1.455131028439e+01 
       2.587462368604e+00       8.338899479290e+00 
       3.257422127813e+00       4.743266468106e+00 
       4.100851493644e+00       2.679801505965e+00 
       5.162666155343e+00       1.504730597691e+00 
       6.499411615570e+00       8.401337266745e-01 
       8.182274444552e+00       4.666456230460e-01 
       1.030087322452e+01       2.579791371697e-01 
       1.296803106602e+01       1.419918897521e-01 
       1.632578384995e+01       7.783209161098e-02 
       2.055294415616e+01       4.250219189450e-02 
       2.587462368537e+01       2.312453097510e-02 
       3.257422127813e+01       1.253806968695e-02 
       4.100851493644e+01       6.774779073163e-03 
       5.162666155343e+01       3.647779391323e-03 
       6.499411615570e+01       1.956717723008e-03 
       8.182274444552e+01       1.045119277367e-03 
       1.030087322452e+02       5.553450966224e-04 
       1.296803106602e+02       2.931293793824e-04 
       1.632578384995e+02       1.533536894115e-04 
       2.055294415616e+02       7.925824317377e-05 
       2.587462368537e+02       4.029589862626e-05 
       3.257422127813e+02       2.004938608714e-05 
       4.100851493644e+02       9.723480334366e-06 
       5.162666155343e+02       4.596915443589e-06 
       6.499411615570e+02       2.136463215016e-06 
       8.182274444552e+02       9.948150283655e-07 
       1.030087322452e+03       4.751846509919e-07 
