# Matter power spectrum P(k) at redshift z=0.5
# for k=1.08787e-05 to 30.0713 h/Mpc,
# number of wavenumbers equal to 1157
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.087870471534e-05       2.233908845913e+01 
       1.100467417900e-05       2.258923267235e+01 
       1.113210230030e-05       2.284217895974e+01 
       1.126100596971e-05       2.309795933592e+01 
       1.139140227325e-05       2.335660413893e+01 
       1.152330849483e-05       2.361814841496e+01 
       1.165674211847e-05       2.388262212152e+01 
       1.179172083065e-05       2.415005846571e+01 
       1.192826252266e-05       2.442049017657e+01 
       1.206638529294e-05       2.469395291595e+01 
       1.220610744952e-05       2.497047956192e+01 
       1.234744751242e-05       2.525010450012e+01 
       1.249042421612e-05       2.553286369610e+01 
       1.263505651202e-05       2.581878997432e+01 
       1.278136357097e-05       2.610792005433e+01 
       1.292936478582e-05       2.640028987697e+01 
       1.307907977396e-05       2.669593586987e+01 
       1.323052837997e-05       2.699489527098e+01 
       1.338373067818e-05       2.729720400916e+01 
       1.353870697539e-05       2.760290080038e+01 
       1.369547781355e-05       2.791202359908e+01 
       1.385406397246e-05       2.822461006258e+01 
       1.401448647255e-05       2.854070029064e+01 
       1.417676657763e-05       2.886033245609e+01 
       1.434092579777e-05       2.918354747845e+01 
       1.450698589209e-05       2.951038441835e+01 
       1.467496887168e-05       2.984088487484e+01 
       1.484489700249e-05       3.017508975338e+01 
       1.501679280832e-05       3.051304101168e+01 
       1.519067907378e-05       3.085477960294e+01 
       1.536657884729e-05       3.120034956573e+01 
       1.554451544418e-05       3.154979287146e+01 
       1.572451244976e-05       3.190315326891e+01 
       1.590659372243e-05       3.226047407785e+01 
       1.609078339687e-05       3.262180179774e+01 
       1.627710588722e-05       3.298718035032e+01 
       1.646558589033e-05       3.335665550831e+01 
       1.665624838901e-05       3.373027313096e+01 
       1.684911865537e-05       3.410807994803e+01 
       1.704422225416e-05       3.449012248074e+01 
       1.724158504614e-05       3.487644921513e+01 
       1.744123319155e-05       3.526710771928e+01 
       1.764319315353e-05       3.566214720344e+01 
       1.784749170165e-05       3.606161679857e+01 
       1.805415591547e-05       3.646556653293e+01 
       1.826321318809e-05       3.687404569456e+01 
       1.847469122984e-05       3.728710659569e+01 
       1.868861807190e-05       3.770480085657e+01 
       1.890502207005e-05       3.812718021021e+01 
       1.912393190839e-05       3.855429749191e+01 
       1.934537660319e-05       3.898620514781e+01 
       1.956938550671e-05       3.942295894902e+01 
       1.979598831108e-05       3.986461204514e+01 
       2.002521505226e-05       4.031121997963e+01 
       2.025709611400e-05       4.076283938625e+01 
       2.049166223189e-05       4.121952645668e+01 
       2.072894449741e-05       4.168133604865e+01 
       2.096897436208e-05       4.214832891570e+01 
       2.121178364158e-05       4.262056262759e+01 
       2.145740452003e-05       4.309809601521e+01 
       2.170586955420e-05       4.358098834138e+01 
       2.195721167788e-05       4.406930115567e+01 
       2.221146420618e-05       4.456309495359e+01 
       2.246866084000e-05       4.506243191154e+01 
       2.272883567047e-05       4.556737396132e+01 
       2.299202318350e-05       4.607798492815e+01 
       2.325825826430e-05       4.659432904537e+01 
       2.352757620203e-05       4.711647148454e+01 
       2.380001269451e-05       4.764447555599e+01 
       2.407560385289e-05       4.817841031948e+01 
       2.435438620649e-05       4.871834008233e+01 
       2.463639670759e-05       4.926433471548e+01 
       2.492167273640e-05       4.981646262007e+01 
       2.521025210593e-05       5.037479236771e+01 
       2.550217306707e-05       5.093939309841e+01 
       2.579747431363e-05       5.151033818759e+01 
       2.609619498746e-05       5.208769716825e+01 
       2.639837468368e-05       5.267154514025e+01 
       2.670405345586e-05       5.326195315931e+01 
       2.701327182141e-05       5.385899639104e+01 
       2.732607076687e-05       5.446275064351e+01 
       2.764249175342e-05       5.507329068950e+01 
       2.796257672231e-05       5.569069517233e+01 
       2.828636810046e-05       5.631503962953e+01 
       2.861390880605e-05       5.694640498124e+01 
       2.894524225427e-05       5.758486992772e+01 
       2.928041236299e-05       5.823051503618e+01 
       2.961946355866e-05       5.888342178674e+01 
       2.996244078214e-05       5.954367266623e+01 
       3.030938949470e-05       6.021135105397e+01 
       3.066035568399e-05       6.088654131125e+01 
       3.101538587023e-05       6.156932908719e+01 
       3.137452711227e-05       6.225980007957e+01 
       3.173782701389e-05       6.295804242412e+01 
       3.210533373011e-05       6.366414406244e+01 
       3.247709597353e-05       6.437819472975e+01 
       3.285316302085e-05       6.510028485845e+01 
       3.323358471934e-05       6.583050590946e+01 
       3.361841149349e-05       6.656895056916e+01 
       3.400769435167e-05       6.731571328104e+01 
       3.440148489290e-05       6.807088750159e+01 
       3.479983531369e-05       6.883456920852e+01 
       3.520279841496e-05       6.960685660266e+01 
       3.561042760903e-05       7.038784795982e+01 
       3.602277692670e-05       7.117764196405e+01 
       3.643990102444e-05       7.197633944878e+01 
       3.686185519159e-05       7.278404284900e+01 
       3.728869535771e-05       7.360085360936e+01 
       3.772047810002e-05       7.442687712587e+01 
       3.815726065084e-05       7.526221886651e+01 
       3.859910090523e-05       7.610698498898e+01 
       3.904605742863e-05       7.696128412399e+01 
       3.949818946466e-05       7.782522534852e+01 
       3.995555694291e-05       7.869891902401e+01 
       4.041822048696e-05       7.958247722216e+01 
       4.088624142236e-05       8.047601305031e+01 
       4.135968178477e-05       8.137964151210e+01 
       4.183860432820e-05       8.229347891900e+01 
       4.232307253331e-05       8.321764188149e+01 
       4.281315061585e-05       8.415224998408e+01 
       4.330890353513e-05       8.509742269034e+01 
       4.381039700266e-05       8.605328204979e+01 
       4.431769749086e-05       8.701995193011e+01 
       4.483087224186e-05       8.799755631919e+01 
       4.534998927642e-05       8.898622192276e+01 
       4.587511740293e-05       8.998607657236e+01 
       4.640632622657e-05       9.099724899661e+01 
       4.694368615848e-05       9.201987050025e+01 
       4.748726842514e-05       9.305407368084e+01 
       4.803714507779e-05       9.409999273531e+01 
       4.859338900200e-05       9.515776346076e+01 
       4.915607392728e-05       9.622752339550e+01 
       4.972527443692e-05       9.730941153274e+01 
       5.030106597782e-05       9.840356881511e+01 
       5.088352487054e-05       9.951013831561e+01 
       5.147272831936e-05       1.006292640407e+02 
       5.206875442256e-05       1.017610923445e+02 
       5.267168218277e-05       1.029057714513e+02 
       5.328159151740e-05       1.040634511634e+02 
       5.389856326927e-05       1.052342834370e+02 
       5.452267921732e-05       1.064184216764e+02 
       5.515402208744e-05       1.076160217875e+02 
       5.579267556345e-05       1.088272412411e+02 
       5.643872429818e-05       1.100522395490e+02 
       5.709225392467e-05       1.112911785807e+02 
       5.775335106759e-05       1.125442216694e+02 
       5.842210335463e-05       1.138115350608e+02 
       5.909859942819e-05       1.150932854760e+02 
       5.978292895710e-05       1.163896443622e+02 
       6.047518264848e-05       1.177007831094e+02 
       6.117545225982e-05       1.190268765129e+02 
       6.188383061109e-05       1.203681001241e+02 
       6.260041159708e-05       1.217246343801e+02 
       6.332529019982e-05       1.230966589207e+02 
