# Matter power spectrum P(k) at redshift z=0
# for k=1.07032e-05 to 30.2753 h/Mpc,
# number of wavenumbers equal to 1159
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.070316874801e-05       4.234147761926e+01 
       1.082710560097e-05       4.281560447190e+01 
       1.095247757504e-05       4.329506666923e+01 
       1.107930128815e-05       4.377979050164e+01 
       1.120759355065e-05       4.427001276120e+01 
       1.133737136753e-05       4.476584064178e+01 
       1.146865194071e-05       4.526708872318e+01 
       1.160145267128e-05       4.577391924292e+01 
       1.173579116184e-05       4.628648390449e+01 
       1.187168521880e-05       4.680480381489e+01 
       1.200915285478e-05       4.732898366493e+01 
       1.214821229096e-05       4.785897912391e+01 
       1.228888195952e-05       4.839485981494e+01 
       1.243118050608e-05       4.893679210782e+01 
       1.257512679215e-05       4.948480283838e+01 
       1.272073989765e-05       5.003895284709e+01 
       1.286803912344e-05       5.059931880641e+01 
       1.301704399389e-05       5.116596975492e+01 
       1.316777425941e-05       5.173928643640e+01 
       1.332024989916e-05       5.231842943392e+01 
       1.347449112359e-05       5.290435348366e+01 
       1.363051837724e-05       5.349671736371e+01 
       1.378835234132e-05       5.409586572237e+01 
       1.394801393658e-05       5.470169069368e+01 
       1.410952432597e-05       5.531436155313e+01 
       1.427290491754e-05       5.593378117414e+01 
       1.443817736718e-05       5.656025781610e+01 
       1.460536358160e-05       5.719364714072e+01 
       1.477448572115e-05       5.783424796898e+01 
       1.494556620277e-05       5.848196409168e+01 
       1.511862770300e-05       5.913686788356e+01 
       1.529369316096e-05       5.979926764349e+01 
       1.547078578138e-05       6.046896496296e+01 
       1.564992903770e-05       6.114625388744e+01 
       1.583114667517e-05       6.183111433421e+01 
       1.601446271397e-05       6.252358336164e+01 
       1.619990145247e-05       6.322384957826e+01 
       1.638748747035e-05       6.393200934679e+01 
       1.657724563195e-05       6.464808382946e+01 
       1.676920108950e-05       6.537229552963e+01 
       1.696337928649e-05       6.610443644242e+01 
       1.715980596103e-05       6.684521948700e+01 
       1.735850714926e-05       6.759371826496e+01 
       1.755950918882e-05       6.835050380464e+01 
       1.776283872230e-05       6.911611447988e+01 
       1.796852270081e-05       6.989043549126e+01 
       1.817658838754e-05       7.067323960572e+01 
       1.838706336137e-05       7.146490685176e+01 
       1.859997552054e-05       7.226569191387e+01 
       1.881535308632e-05       7.307518143068e+01 
       1.903322460676e-05       7.389411999817e+01 
       1.925361896052e-05       7.472193109894e+01 
       1.947656536061e-05       7.555872523687e+01 
       1.970209335834e-05       7.640509473267e+01 
       1.993023284721e-05       7.726109071162e+01 
       2.016101406685e-05       7.812666108143e+01 
       2.039446760707e-05       7.900202548136e+01 
       2.063062441188e-05       7.988700911988e+01 
       2.086951578361e-05       8.078196646909e+01 
       2.111117338705e-05       8.168721338563e+01 
       2.135562925366e-05       8.260235613869e+01 
       2.160291578580e-05       8.352780603575e+01 
       2.185306576102e-05       8.446370051809e+01 
       2.210611233644e-05       8.541009721372e+01 
       2.236208905310e-05       8.636724894921e+01 
       2.262102984045e-05       8.733496460104e+01 
       2.288296902080e-05       8.831371719437e+01 
       2.314794131390e-05       8.930332489874e+01 
       2.341598184156e-05       9.030391738880e+01 
       2.368712613224e-05       9.131587552415e+01 
       2.396141012584e-05       9.233927501070e+01 
       2.423887017839e-05       9.337386166864e+01 
       2.451954306694e-05       9.442059914888e+01 
       2.480346599435e-05       9.547859840356e+01 
       2.509067659432e-05       9.654884408653e+01 
       2.538121293630e-05       9.763109583296e+01 
       2.567511353055e-05       9.872521534411e+01 
       2.597241733330e-05       9.983171278265e+01 
       2.627316375183e-05       1.009508017839e+02 
       2.657739264975e-05       1.020823178453e+02 
       2.688514435229e-05       1.032266181324e+02 
       2.719645965159e-05       1.043836926924e+02 
       2.751137981215e-05       1.055537930222e+02 
       2.782994657632e-05       1.067370796418e+02 
       2.815220216975e-05       1.079337128368e+02 
       2.847818930709e-05       1.091439426961e+02 
       2.880795119758e-05       1.103676042184e+02 
       2.914153155079e-05       1.116050257642e+02 
       2.947897458245e-05       1.128563638873e+02 
       2.982032502025e-05       1.141216807079e+02 
       3.016562810984e-05       1.154013127077e+02 
       3.051492962076e-05       1.166953580261e+02 
       3.086827585255e-05       1.180039589063e+02 
       3.122571364086e-05       1.193272841855e+02 
       3.158729036370e-05       1.206655024839e+02 
       3.195305394766e-05       1.220187081180e+02 
       3.232305287431e-05       1.233872172449e+02 
       3.269733618661e-05       1.247713032160e+02 
       3.307595349541e-05       1.261708704100e+02 
       3.345895498601e-05       1.275859307003e+02 
       3.384639142485e-05       1.290169456833e+02 
       3.423831416622e-05       1.304644852242e+02 
       3.463477515904e-05       1.319281324541e+02 
       3.503582695380e-05       1.334082492287e+02 
       3.544152270947e-05       1.349054612482e+02 
       3.585191620058e-05       1.364180658303e+02 
       3.626706182436e-05       1.379492362983e+02 
       3.668701460789e-05       1.394972189197e+02 
       3.711183021548e-05       1.410626897817e+02 
       3.754156495596e-05       1.426457842434e+02 
       3.797627579021e-05       1.442469137711e+02 
       3.841602033869e-05       1.458663089510e+02 
       3.886085688905e-05       1.475036586566e+02 
       3.931084440389e-05       1.491585308770e+02 
       3.976604252859e-05       1.508333135449e+02 
       4.022651159914e-05       1.525266265992e+02 
       4.069231265024e-05       1.542393467242e+02 
       4.116350742330e-05       1.559711589547e+02 
       4.164015837469e-05       1.577225191247e+02 
       4.212232868396e-05       1.594934135981e+02 
       4.261008226228e-05       1.612843723500e+02 
       4.310348376085e-05       1.630966106933e+02 
       4.360259857950e-05       1.649281987740e+02 
       4.410749287536e-05       1.667802802897e+02 
       4.461823357163e-05       1.686543400439e+02 
       4.513488836643e-05       1.705485783345e+02 
       4.565752574179e-05       1.724650793790e+02 
       4.618621497274e-05       1.744030881078e+02 
       4.672102613646e-05       1.763628692763e+02 
       4.726203012158e-05       1.783443661609e+02 
       4.780929863760e-05       1.803492915980e+02 
       4.836290422437e-05       1.823764923941e+02 
