# Matter power spectrum P(k) at redshift z=0
# for k=1.03246e-05 to 30.2307 h/Mpc,
# number of wavenumbers equal to 1162
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.032457158387e-05       4.905827008456e+01 
       1.044412448828e-05       4.960749347620e+01 
       1.056506175008e-05       5.016288497140e+01 
       1.068739939936e-05       5.072445318692e+01 
       1.081115365187e-05       5.129233558748e+01 
       1.093634091107e-05       5.186656757592e+01 
       1.106297777042e-05       5.244723359874e+01 
       1.119108101550e-05       5.303441620607e+01 
       1.132066762623e-05       5.362813610198e+01 
       1.145175477920e-05       5.422852375988e+01 
       1.158435984986e-05       5.483562646253e+01 
       1.171850041488e-05       5.544952932193e+01 
       1.185419425442e-05       5.607031080071e+01 
       1.199145935458e-05       5.669805603986e+01 
       1.213031390969e-05       5.733279359377e+01 
       1.227077632476e-05       5.797467185698e+01 
       1.241286521795e-05       5.862372216730e+01 
       1.255659942297e-05       5.928002048231e+01 
       1.270199799165e-05       5.994368168690e+01 
       1.284908019641e-05       6.061477670772e+01 
       1.299786553282e-05       6.129337456972e+01 
       1.314837372224e-05       6.197960019474e+01 
       1.330062471434e-05       6.267348858924e+01 
       1.345463868985e-05       6.337512325776e+01 
       1.361043606315e-05       6.408465215603e+01 
       1.376803748500e-05       6.480209071518e+01 
       1.392746384530e-05       6.552757662644e+01 
       1.408873627585e-05       6.626117868736e+01 
       1.425187615314e-05       6.700300177129e+01 
       1.441690510117e-05       6.775313350877e+01 
       1.458384499436e-05       6.851165551984e+01 
       1.475271796041e-05       6.927867187819e+01 
       1.492354638324e-05       7.005427907622e+01 
       1.509635290598e-05       7.083856899834e+01 
       1.527116043395e-05       7.163163008800e+01 
       1.544799213769e-05       7.243361043888e+01 
       1.562687145605e-05       7.324454046258e+01 
       1.580782209930e-05       7.406452531438e+01 
       1.599086805225e-05       7.489370431142e+01 
       1.617603357744e-05       7.573219099053e+01 
       1.636334321835e-05       7.658004125597e+01 
       1.655282180269e-05       7.743739968088e+01 
       1.674449444563e-05       7.830434397937e+01 
       1.693838655316e-05       7.918101046751e+01 
       1.713452382549e-05       8.006750141836e+01 
       1.733293226040e-05       8.096387402188e+01 
       1.753363815670e-05       8.187031007173e+01 
       1.773666811774e-05       8.278689108710e+01 
       1.794204905493e-05       8.371372021827e+01 
       1.814980819129e-05       8.465096112524e+01 
       1.835997306507e-05       8.559866992630e+01 
       1.857257153339e-05       8.655700115421e+01 
       1.878763177595e-05       8.752604939044e+01 
       1.900518229875e-05       8.850595602627e+01 
       1.922525193788e-05       8.949683151400e+01 
       1.944786986333e-05       9.049881527633e+01 
       1.967306558286e-05       9.151199214064e+01 
       1.990086894593e-05       9.253657224272e+01 
       2.013131014763e-05       9.357253561642e+01 
       2.036441973267e-05       9.462015180161e+01 
       2.060022859950e-05       9.567947557984e+01 
       2.083876800431e-05       9.675068189497e+01 
       2.108006956525e-05       9.783389259159e+01 
       2.132416526657e-05       9.892918480362e+01 
       2.157108746291e-05       1.000367665157e+02 
       2.182086888352e-05       1.011567522527e+02 
       2.207354263667e-05       1.022892772537e+02 
       2.232914221398e-05       1.034345077126e+02 
       2.258770149491e-05       1.045925328116e+02 
       2.284925475121e-05       1.057635004616e+02 
       2.311383665147e-05       1.069476090962e+02 
       2.338148226575e-05       1.081449735216e+02 
       2.365222707017e-05       1.093557452936e+02 
       2.392610695168e-05       1.105800733916e+02 
       2.420315821274e-05       1.118181099266e+02 
       2.448341757621e-05       1.130700084565e+02 
       2.476692219016e-05       1.143359211078e+02 
       2.505370963282e-05       1.156160166726e+02 
       2.534381791756e-05       1.169104457055e+02 
       2.563728549790e-05       1.182193831209e+02 
       2.593415127267e-05       1.195429408731e+02 
       2.623445459111e-05       1.208813401622e+02 
       2.653823525808e-05       1.222347440220e+02 
       2.684553353939e-05       1.236032949924e+02 
       2.715639016709e-05       1.249871277589e+02 
       2.747084634489e-05       1.263864863101e+02 
       2.778894375362e-05       1.278015134304e+02 
       2.811072455675e-05       1.292323925694e+02 
       2.843623140597e-05       1.306793258736e+02 
       2.876550744686e-05       1.321423816564e+02 
       2.909859632460e-05       1.336219038553e+02 
       2.943554218977e-05       1.351179581545e+02 
       2.977638970417e-05       1.366307619061e+02 
       3.012118404677e-05       1.381605059638e+02 
       3.046997091970e-05       1.397073804528e+02 
       3.082279655426e-05       1.412715773097e+02 
       3.117970771712e-05       1.428532906229e+02 
       3.154075171647e-05       1.444527166662e+02 
       3.190597640829e-05       1.460700091863e+02 
       3.227543020273e-05       1.477054388213e+02 
       3.264916207048e-05       1.493592170772e+02 
       3.302722154930e-05       1.510315481652e+02 
       3.340965875056e-05       1.527225524645e+02 
       3.379652436591e-05       1.544324485618e+02 
       3.418786967394e-05       1.561616020109e+02 
       3.458374654708e-05       1.579100194609e+02 
       3.498420745835e-05       1.596780586264e+02 
       3.538930548844e-05       1.614659121715e+02 
       3.579909433263e-05       1.632738380869e+02 
       3.621362830800e-05       1.651018923826e+02 
       3.663296236058e-05       1.669505244301e+02 
       3.705715207264e-05       1.688197740391e+02 
       3.748625367006e-05       1.707100015933e+02 
       3.792032402981e-05       1.726214638299e+02 
       3.835942068744e-05       1.745542073664e+02 
       3.880360184472e-05       1.765087004521e+02 
       3.925292637740e-05       1.784849923392e+02 
       3.970745384296e-05       1.804835261546e+02 
       4.016724448851e-05       1.825043887181e+02 
       4.063235925881e-05       1.845478858826e+02 
       4.110285980432e-05       1.866142714030e+02 
       4.157880848937e-05       1.887038026079e+02 
       4.206026840046e-05       1.908167426613e+02 
       4.254730335456e-05       1.929532800451e+02 
       4.303997790763e-05       1.951138145633e+02 
       4.353835736316e-05       1.972986404823e+02 
       4.404250778080e-05       1.995077610664e+02 
       4.455249598514e-05       2.017417650721e+02 
       4.506838957456e-05       2.040007430634e+02 
       4.559025693021e-05       2.062849680227e+02 
       4.611816722503e-05       2.085949283906e+02 
       4.665219043296e-05       2.109305713086e+02 
       4.719239733821e-05       2.132925392358e+02 
       4.773885954460e-05       2.156808665416e+02 
       4.829164948512e-05       2.180959907971e+02 
       4.885084043146e-05       2.205381651468e+02 
       4.941650650380e-05       2.230076905244e+02 
       4.998872268054e-05       2.255049029848e+02 
       5.056756480833e-05       2.280301421477e+02 
       5.115310961206e-05       2.305835318587e+02 
       5.174543470507e-05       2.331657141406e+02 
       5.234461859939e-05       2.357766477552e+02 
       5.295074071622e-05       2.384169916281e+02 
       5.356388139637e-05       2.410867633198e+02 
       5.418412191098e-05       2.437865687527e+02 
       5.481154447226e-05       2.465165129057e+02 
       5.544623224439e-05       2.492770953165e+02 
       5.608826935455e-05       2.520686325508e+02 
       5.673774090406e-05       2.548914356924e+02 
       5.739473297967e-05       2.577459641640e+02 
       5.805933266496e-05       2.606322539745e+02 
       5.873162805192e-05       2.635510588025e+02 
       5.941170825256e-05       2.665025399858e+02 
       6.009966341077e-05       2.694870916436e+02 
       6.079558471427e-05       2.725050483276e+02 
       6.149956440667e-05       2.755568652151e+02 
       6.221169579972e-05       2.786429502516e+02 
       6.293207328567e-05       2.817635574891e+02 
       6.366079234976e-05       2.849190940585e+02 
       6.439794958292e-05       2.881099737313e+02 
       6.514364269455e-05       2.913366535392e+02 
       6.589797052545e-05       2.945995317809e+02 
       6.666103306097e-05       2.978989830182e+02 
       6.743293144422e-05       3.012354469705e+02 
       6.821376798949e-05       3.046092715986e+02 
       6.900364619582e-05       3.080208950300e+02 
       6.980267076071e-05       3.114706621204e+02 
       7.061094759400e-05       3.149591803297e+02 
       7.142858383191e-05       3.184868513982e+02 
       7.225568785124e-05       3.220540032259e+02 
       7.309236928373e-05       3.256612158025e+02 
       7.393873903060e-05       3.293088280457e+02 
       7.479490927724e-05       3.329973355334e+02 
       7.566099350809e-05       3.367271676117e+02 
       7.653710652168e-05       3.404988845475e+02 
       7.742336444583e-05       3.443128022164e+02 
       7.831988475308e-05       3.481695816435e+02 
       7.922678627622e-05       3.520695173861e+02 
       8.014418922406e-05       3.560133319969e+02 
       8.107221519738e-05       3.600012215895e+02 
       8.201098720500e-05       3.640338588837e+02 
       8.296062968015e-05       3.681117315402e+02 
       8.392126849691e-05       3.722353146724e+02 
       8.489303098690e-05       3.764051153767e+02 
       8.587604595620e-05       3.806217310514e+02 
       8.687044370237e-05       3.848856074102e+02 
       8.787635603176e-05       3.891973156826e+02 
       8.889391627695e-05       3.935573444241e+02 
       8.992325931447e-05       3.979663365534e+02 
       9.096452158260e-05       4.024247007141e+02 
       9.201784109954e-05       4.069331213878e+02 
       9.308335748164e-05       4.114920570992e+02 
       9.416121196196e-05       4.161022577280e+02 
       9.525154740893e-05       4.207640262653e+02 
       9.635450834534e-05       4.254782348331e+02 
       9.747024096746e-05       4.302452481642e+02 
       9.859889316444e-05       4.350656414817e+02 
       9.974061453792e-05       4.399402139623e+02 
       1.008955564218e-04       4.448694961267e+02 
       1.020638719024e-04       4.498540791202e+02 
       1.032457158387e-04       4.548945499769e+02 
       1.044412448828e-04       4.599916951240e+02 
       1.056506175008e-04       4.651459666300e+02 
       1.068739939936e-04       4.703580590240e+02 
       1.081115365187e-04       4.756285819658e+02 
       1.093634091107e-04       4.809582895248e+02 
       1.106297777043e-04       4.863478354922e+02 
       1.119108101550e-04       4.917978100992e+02 
       1.132066762623e-04       4.973089773418e+02 
       1.145175477920e-04       5.028820039732e+02 
       1.158435984986e-04       5.085175474648e+02 
