# Matter power spectrum P(k) at redshift z=0
# for k=1.06493e-05 to 30.1228 h/Mpc,
# number of wavenumbers equal to 1159
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.064925112593e-05       4.322176825894e+01 
       1.077256364225e-05       4.370573853056e+01 
       1.089730405020e-05       4.419510739755e+01 
       1.102348888401e-05       4.468997539556e+01 
       1.115113486933e-05       4.519040299551e+01 
       1.128025892549e-05       4.569644672112e+01 
       1.141087816776e-05       4.620811602617e+01 
       1.154300990957e-05       4.672555480841e+01 
       1.167667166484e-05       4.724875554856e+01 
       1.181188115029e-05       4.777785506959e+01 
       1.194865628779e-05       4.831283880095e+01 
       1.208701520674e-05       4.885383977604e+01 
       1.222697624647e-05       4.940091646251e+01 
       1.236855795865e-05       4.995412972313e+01 
       1.251177910979e-05       5.051348529822e+01 
       1.265665868371e-05       5.107912334182e+01 
       1.280321588402e-05       5.165114210149e+01 
       1.295147013672e-05       5.222954690204e+01 
       1.310144109277e-05       5.281441554780e+01 
       1.325314863064e-05       5.340585418030e+01 
       1.340661285901e-05       5.400390929716e+01 
       1.356185411939e-05       5.460867654157e+01 
       1.371889298885e-05       5.522024900903e+01 
       1.387775028271e-05       5.583862788769e+01 
       1.403844705734e-05       5.646394542831e+01 
       1.420100461292e-05       5.709629588305e+01 
       1.436544449628e-05       5.773569764738e+01 
       1.453178850375e-05       5.838227576034e+01 
       1.470005868404e-05       5.903613932582e+01 
       1.487027734119e-05       5.969724893076e+01 
       1.504246703749e-05       6.036584535777e+01 
       1.521665059651e-05       6.104187920991e+01 
       1.539285110608e-05       6.172553237858e+01 
       1.557109192139e-05       6.241689742620e+01 
       1.575139666807e-05       6.311586446335e+01 
       1.593378924532e-05       6.382276201975e+01 
       1.611829382907e-05       6.453758848605e+01 
       1.630493487522e-05       6.526041130912e+01 
       1.649373712281e-05       6.599135253733e+01 
       1.668472559740e-05       6.673052816545e+01 
       1.687792561430e-05       6.747794506597e+01 
       1.707336278195e-05       6.823368808273e+01 
       1.727106300535e-05       6.899798446402e+01 
       1.747105248944e-05       6.977077973191e+01 
       1.767335774261e-05       7.055224720714e+01 
       1.787800558021e-05       7.134251411479e+01 
       1.808502312808e-05       7.214163799728e+01 
       1.829443782618e-05       7.294979534609e+01 
       1.850627743220e-05       7.376686336473e+01 
       1.872057002525e-05       7.459326216610e+01 
       1.893734400958e-05       7.542872367816e+01 
       1.915662811834e-05       7.627367642762e+01 
       1.937845141741e-05       7.712810658945e+01 
       1.960284330923e-05       7.799221068455e+01 
       1.982983353669e-05       7.886578589459e+01 
       2.005945218711e-05       7.974938948870e+01 
       2.029172969619e-05       8.064280295661e+01 
       2.052669685206e-05       8.154621349434e+01 
       2.076438479936e-05       8.245979001230e+01 
       2.100482504338e-05       8.338358676690e+01 
       2.124804945421e-05       8.431778636702e+01 
       2.149409027098e-05       8.526236628630e+01 
       2.174298010613e-05       8.621770779589e+01 
       2.199475194974e-05       8.718369447938e+01 
       2.224943917390e-05       8.816050543577e+01 
       2.250707553712e-05       8.914830043156e+01 
       2.276769518883e-05       9.014704466352e+01 
       2.303133267387e-05       9.115722990496e+01 
       2.329802293711e-05       9.217868633651e+01 
       2.356780132806e-05       9.321153632732e+01 
       2.384070360554e-05       9.425590826468e+01 
       2.411676594247e-05       9.531225604442e+01 
       2.439602493060e-05       9.638018280928e+01 
       2.467851758540e-05       9.746024459638e+01 
       2.496428135099e-05       9.855257163591e+01 
       2.525335410502e-05       9.965705622081e+01 
       2.554577416379e-05       1.007738427926e+02 
       2.584158028725e-05       1.019032535437e+02 
       2.614081168419e-05       1.030452693010e+02 
       2.644350801741e-05       1.042002555893e+02 
       2.674970940896e-05       1.053681930371e+02 
       2.705945644553e-05       1.065491784758e+02 
       2.737279018374e-05       1.077434615893e+02 
       2.768975215564e-05       1.089511708385e+02 
       2.801038437419e-05       1.101724357335e+02 
       2.833472933886e-05       1.114073953120e+02 
       2.866283004120e-05       1.126562761103e+02 
       2.899472997062e-05       1.139191954423e+02 
       2.933047312010e-05       1.151963123475e+02 
       2.967010399201e-05       1.164877854703e+02 
       3.001366760407e-05       1.177937840440e+02 
       3.036120949527e-05       1.191144671608e+02 
       3.071277573189e-05       1.204500028964e+02 
       3.106841291367e-05       1.218005605756e+02 
       3.142816817993e-05       1.231663286388e+02 
       3.179208921585e-05       1.245474640816e+02 
       3.216022425875e-05       1.259441203847e+02 
       3.253262210454e-05       1.273564832394e+02 
       3.290933211415e-05       1.287847522260e+02 
       3.329040422009e-05       1.302291051851e+02 
       3.367588893305e-05       1.316897256503e+02 
       3.406583734862e-05       1.331667407090e+02 
       3.446030115402e-05       1.346604126472e+02 
       3.485933263501e-05       1.361708985007e+02 
       3.526298468279e-05       1.376984024309e+02 
       3.567131080099e-05       1.392430977088e+02 
       3.608436511281e-05       1.408052094495e+02 
       3.650220236813e-05       1.423849409131e+02 
       3.692487795083e-05       1.439824101207e+02 
       3.735244788612e-05       1.455979221340e+02 
       3.778496884791e-05       1.472317001957e+02 
       3.822249816640e-05       1.488838086913e+02 
       3.866509383561e-05       1.505545559385e+02 
       3.911281452114e-05       1.522442155090e+02 
       3.956571956786e-05       1.539528693883e+02 
       4.002386900786e-05       1.556808068918e+02 
       4.048732356834e-05       1.574282531988e+02 
       4.095614467970e-05       1.591953734302e+02 
       4.143039448368e-05       1.609824816898e+02 
       4.191013584158e-05       1.627897278524e+02 
       4.239543234258e-05       1.646173968548e+02 
       4.288634831222e-05       1.664657461585e+02 
       4.338294882088e-05       1.683349350015e+02 
       4.388529969241e-05       1.702252592448e+02 
       4.439346751288e-05       1.721368989328e+02 
       4.490751963938e-05       1.740701940447e+02 
       4.542752420897e-05       1.760253410323e+02 
       4.595355014769e-05       1.780025709829e+02 
       4.648566717970e-05       1.800021705289e+02 
       4.702394583655e-05       1.820243416101e+02 
       4.756845746649e-05       1.840694674179e+02 
       4.811927424393e-05       1.861376754643e+02 
       4.867646917906e-05       1.882293684280e+02 
       4.924011612745e-05       1.903446995691e+02 
       4.981028979990e-05       1.924839746200e+02 
       5.038706577231e-05       1.946475048506e+02 
       5.097052049571e-05       1.968354843357e+02 
       5.156073130640e-05       1.990483557165e+02 
       5.215777643617e-05       2.012862710793e+02 
       5.276173502271e-05       2.035495651460e+02 
       5.337268712007e-05       2.058384940012e+02 
       5.399071370931e-05       2.081534809923e+02 
       5.461589670917e-05       2.104946944002e+02 
       5.524831898697e-05       2.128624878179e+02 
       5.588806436962e-05       2.152571670293e+02 
       5.653521765466e-05       2.176790497942e+02 
       5.718986462157e-05       2.201284859220e+02 
       5.785209204308e-05       2.226056493535e+02 
       5.852198769673e-05       2.251110770631e+02 
       5.919964037647e-05       2.276450094085e+02 
       5.988513990441e-05       2.302077309107e+02 
       6.057857714278e-05       2.327996246233e+02 
       6.128004400593e-05       2.354210476589e+02 
       6.198963347254e-05       2.380723188796e+02 
       6.270743959793e-05       2.407537965554e+02 
       6.343355752651e-05       2.434657466053e+02 
       6.416808350443e-05       2.462087314095e+02 
       6.491111489231e-05       2.489829885628e+02 
       6.566275017817e-05       2.517888988422e+02 
       6.642308899044e-05       2.546268345677e+02 
       6.719223211120e-05       2.574971943253e+02 
       6.797028148955e-05       2.604004265943e+02 
       6.875734025509e-05       2.633367410630e+02 
       6.955351273161e-05       2.663066777210e+02 
       7.035890445090e-05       2.693104736422e+02 
       7.117362216677e-05       2.723488134003e+02 
       7.199777386916e-05       2.754218664739e+02 
       7.283146879849e-05       2.785301063646e+02 
       7.367481746012e-05       2.816739036901e+02 
       7.452793163901e-05       2.848538917582e+02 
       7.539092441451e-05       2.880701982904e+02 
       7.626391017538e-05       2.913235878208e+02 
       7.714700463493e-05       2.946142537020e+02 
       7.804032484639e-05       2.979427111779e+02 
       7.894398921838e-05       3.013094300351e+02 
       7.985811753063e-05       3.047148622395e+02 
       8.078283094986e-05       3.081594801985e+02 
       8.171825204582e-05       3.116437161307e+02 
       8.266450480759e-05       3.151680965946e+02 
       8.362171465992e-05       3.187331214877e+02 
       8.459000847996e-05       3.223392075764e+02 
       8.556951461400e-05       3.259869460526e+02 
       8.656036289452e-05       3.296767574427e+02 
       8.756268465737e-05       3.334092279566e+02 
       8.857661275924e-05       3.371848162236e+02 
       8.960228159518e-05       3.410040245825e+02 
       9.063982711649e-05       3.448675112628e+02 
       9.168938684871e-05       3.487756551150e+02 
       9.275109990985e-05       3.527290861875e+02 
       9.382510702881e-05       3.567283692641e+02 
       9.491155056408e-05       3.607740428015e+02 
       9.601057452257e-05       3.648666728816e+02 
       9.712232457872e-05       3.690068326058e+02 
       9.824694809380e-05       3.731951132694e+02 
       9.938459413542e-05       3.774320987321e+02 
       1.005354134974e-04       3.817184033759e+02 
       1.016995587194e-04       3.860546075234e+02 
       1.028771841079e-04       3.904413464217e+02 
       1.040684457557e-04       3.948792356220e+02 
       1.052735015632e-04       3.993689222320e+02 
       1.064925112593e-04       4.039110347741e+02 
       1.077256364225e-04       4.085062148832e+02 
       1.089730405020e-04       4.131551460493e+02 
       1.102348888401e-04       4.178584714092e+02 
       1.115113486933e-04       4.226168783022e+02 
       1.128025892549e-04       4.274310234880e+02 
       1.141087816776e-04       4.323016457099e+02 
       1.154300990957e-04       4.372294460491e+02 
       1.167667166484e-04       4.422151006441e+02 
       1.181188115029e-04       4.472593348313e+02 
       1.194865628779e-04       4.523629248050e+02 
       1.208701520674e-04       4.575265867740e+02 
       1.222697624647e-04       4.627510717455e+02 
       1.236855795865e-04       4.680371441510e+02 
       1.251177910979e-04       4.733855932559e+02 
       1.265665868371e-04       4.787971429117e+02 
       1.280321588402e-04       4.842726568112e+02 
       1.295147013672e-04       4.898129057176e+02 
       1.310144109277e-04       4.954187020710e+02 
       1.325314863064e-04       5.010908775185e+02 
       1.340661285901e-04       5.068302628147e+02 
       1.356185411939e-04       5.126377054513e+02 
       1.371889298885e-04       5.185140556514e+02 
       1.387775028271e-04       5.244601951928e+02 
       1.403844705734e-04       5.304770025858e+02 
       1.420100461292e-04       5.365653448423e+02 
       1.436544449628e-04       5.427261683085e+02 
       1.453178850375e-04       5.489603249781e+02 
