# Matter power spectrum P(k) at redshift z=0.5
# for k=1.05246e-05 to 30.1147 h/Mpc,
# number of wavenumbers equal to 1160
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052455225510e-05       2.661246209815e+01 
       1.064642082655e-05       2.691037446598e+01 
       1.076970056954e-05       2.721165209305e+01 
       1.089440782468e-05       2.751629642615e+01 
       1.102055912177e-05       2.782432607787e+01 
       1.114817118204e-05       2.813584207935e+01 
       1.127726092032e-05       2.845082233434e+01 
       1.140784544733e-05       2.876934547143e+01 
       1.153994207189e-05       2.909139017943e+01 
       1.167356830327e-05       2.941710466601e+01 
       1.180874185349e-05       2.974642415920e+01 
       1.194548063965e-05       3.007943564392e+01 
       1.208380278633e-05       3.041618113263e+01 
       1.222372662798e-05       3.075669436346e+01 
       1.236527071135e-05       3.110108659613e+01 
       1.250845379797e-05       3.144921062725e+01 
       1.265329486658e-05       3.180125667389e+01 
       1.279981311573e-05       3.215736484278e+01 
       1.294802796623e-05       3.251730523174e+01 
       1.309795906383e-05       3.288132898771e+01 
       1.324962628170e-05       3.324944088146e+01 
       1.340304972319e-05       3.362164110563e+01 
       1.355824972441e-05       3.399808351601e+01 
       1.371524685693e-05       3.437867422313e+01 
       1.387406193058e-05       3.476354656741e+01 
       1.403471599610e-05       3.515272607846e+01 
       1.419723034803e-05       3.554626604529e+01 
       1.436162652746e-05       3.594420816946e+01 
       1.452792632493e-05       3.634661450236e+01 
       1.469615178330e-05       3.675351941112e+01 
       1.486632520067e-05       3.716499625635e+01 
       1.503846913335e-05       3.758104133240e+01 
       1.521260639882e-05       3.800177516300e+01 
       1.538876007879e-05       3.842720948736e+01 
       1.556695352224e-05       3.885736581223e+01 
       1.574721034851e-05       3.929239726335e+01 
       1.592955445046e-05       3.973227772926e+01 
       1.611400999760e-05       4.017708277084e+01 
       1.630060143931e-05       4.062685395538e+01 
       1.648935350809e-05       4.108168123268e+01 
       1.668029122281e-05       4.154161634357e+01 
       1.687343989207e-05       4.200668411960e+01 
       1.706882511751e-05       4.247691709936e+01 
       1.726647279722e-05       4.295244602404e+01 
       1.746640912921e-05       4.343330015357e+01 
       1.766866061481e-05       4.391953763062e+01 
       1.787325406223e-05       4.441126675626e+01 
       1.808021659012e-05       4.490837336816e+01 
       1.828957563113e-05       4.541110648364e+01 
       1.850135893558e-05       4.591948289890e+01 
       1.871559457513e-05       4.643361101473e+01 
       1.893231094645e-05       4.695349267933e+01 
       1.915153677509e-05       4.747913425692e+01 
       1.937330111919e-05       4.801053813822e+01 
       1.959763337336e-05       4.854807374929e+01 
       1.982456327261e-05       4.909155402102e+01 
       2.005412089625e-05       4.964113968092e+01 
       2.028633667189e-05       5.019685234689e+01 
       2.052124137948e-05       5.075881114343e+01 
       2.075886615539e-05       5.132714171262e+01 
       2.099924249652e-05       5.190166068599e+01 
       2.124240226451e-05       5.248267993664e+01 
       2.148837768990e-05       5.307021266948e+01 
       2.173720137648e-05       5.366434597624e+01 
       2.198890630555e-05       5.426521374749e+01 
       2.224352584034e-05       5.487270684034e+01 
       2.250109373039e-05       5.548685586988e+01 
       2.276164411604e-05       5.610806152688e+01 
       2.302521153296e-05       5.673618115233e+01 
       2.329183091673e-05       5.737147590150e+01 
       2.356153760746e-05       5.801360341498e+01 
       2.383436735448e-05       5.866306929734e+01 
       2.411035632108e-05       5.931977976142e+01 
       2.438954108929e-05       5.998384005512e+01 
       2.467195866475e-05       6.065539755829e+01 
       2.495764648161e-05       6.133449702092e+01 
       2.524664240748e-05       6.202101645030e+01 
       2.553898474845e-05       6.271533728951e+01 
       2.583471225419e-05       6.341743411075e+01 
       2.613386412306e-05       6.412738237337e+01 
       2.643648000730e-05       6.484525244821e+01 
       2.674260001834e-05       6.557118313179e+01 
       2.705226473204e-05       6.630520610968e+01 
       2.736551519413e-05       6.704749262560e+01 
       2.768239292562e-05       6.779822247588e+01 
       2.800293992831e-05       6.855707340090e+01 
       2.832719869035e-05       6.932471645172e+01 
       2.865521219190e-05       7.010078681572e+01 
       2.898702391078e-05       7.088554433419e+01 
       2.932267782829e-05       7.167908614802e+01 
       2.966221843498e-05       7.248151058106e+01 
       3.000569073659e-05       7.329291699216e+01 
       3.035314026001e-05       7.411340585063e+01 
       3.070461305930e-05       7.494300172262e+01 
       3.106015572179e-05       7.578196078079e+01 
       3.141981537427e-05       7.663031070074e+01 
       3.178363968925e-05       7.748800699050e+01 
       3.215167689125e-05       7.835545081327e+01 
       3.252397576319e-05       7.923258649777e+01 
       3.290058565289e-05       8.011967173859e+01 
       3.328155647958e-05       8.101669193797e+01 
       3.366693874054e-05       8.192363606263e+01 
       3.405678351775e-05       8.284053178879e+01 
       3.445114248474e-05       8.376784031543e+01 
       3.485006791334e-05       8.470563358752e+01 
       3.525361268070e-05       8.565393656530e+01 
       3.566183027623e-05       8.661268575498e+01 
       3.607477480874e-05       8.758234565183e+01 
       3.649250101357e-05       8.856288887691e+01 
       3.691506425989e-05       8.955416136740e+01 
       3.734252055798e-05       9.055664363833e+01 
       3.777492656673e-05       9.157031072194e+01 
       3.821233960109e-05       9.259544002689e+01 
       3.865481763966e-05       9.363202417358e+01 
       3.910241933244e-05       9.468017217808e+01 
       3.955520400855e-05       9.574004073882e+01 
       4.001323168411e-05       9.681194508226e+01 
       4.047656307019e-05       9.789538905838e+01 
       4.094525958086e-05       9.899132988917e+01 
       4.141938334133e-05       1.000994048051e+02 
       4.189899719621e-05       1.012199594618e+02 
       4.238416471778e-05       1.023532483373e+02 
       4.287495021447e-05       1.034988441941e+02 
       4.337141873938e-05       1.046574238354e+02 
       4.387363609885e-05       1.058289071221e+02 
       4.438166886128e-05       1.070136188465e+02 
       4.489558436583e-05       1.082114539129e+02 
       4.541545073147e-05       1.094230292002e+02 
       4.594133686591e-05       1.106477228777e+02 
       4.647331247478e-05       1.118862652153e+02 
       4.701144807089e-05       1.131389402956e+02 
       4.755581498352e-05       1.144053524558e+02 
       4.810648536791e-05       1.156858294078e+02 
       4.866353221484e-05       1.169809654717e+02 
       4.922702936024e-05       1.182904244733e+02 
       4.979705149507e-05       1.196145595704e+02 
       5.037367417514e-05       1.209532737604e+02 
       5.095697383115e-05       1.223071665707e+02 
       5.154702777885e-05       1.236761855497e+02 
       5.214391422925e-05       1.250605925134e+02 
       5.274771229900e-05       1.264604550208e+02 
       5.335850202088e-05       1.278761855650e+02 
       5.397636435441e-05       1.293073915054e+02 
       5.460138119657e-05       1.307550284712e+02 
       5.523363539266e-05       1.322183008178e+02 
       5.587321074730e-05       1.336983192654e+02 
       5.652019203550e-05       1.351948882999e+02 
       5.717466501393e-05       1.367080970909e+02 
       5.783671643229e-05       1.382382554167e+02 
