# Matter power spectrum P(k) at redshift z=0
# for k=1.0834e-05 to 30.2946 h/Mpc,
# number of wavenumbers equal to 1158
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.083402852352e-05       4.004067208466e+01 
       1.095948066126e-05       4.048892121408e+01 
       1.108638546629e-05       4.094221972526e+01 
       1.121475975970e-05       4.140056685413e+01 
       1.134462055738e-05       4.186398366291e+01 
       1.147598507222e-05       4.233272689480e+01 
       1.160887071645e-05       4.280664139567e+01 
       1.174329510392e-05       4.328586648068e+01 
       1.187927605243e-05       4.377045633384e+01 
       1.201683158612e-05       4.426050876625e+01 
       1.215597993782e-05       4.475590343654e+01 
       1.229673955150e-05       4.525697813988e+01 
       1.243912908468e-05       4.576368061562e+01 
       1.258316741095e-05       4.627601034348e+01 
       1.272887362243e-05       4.679407331304e+01 
       1.287626703232e-05       4.731794414740e+01 
       1.302536717746e-05       4.784766185331e+01 
       1.317619382091e-05       4.838334494221e+01 
       1.332876695458e-05       4.892493546452e+01 
       1.348310680187e-05       4.947272588637e+01 
       1.363923382036e-05       5.002657224756e+01 
       1.379716870453e-05       5.058656863578e+01 
       1.395693238846e-05       5.115294627997e+01 
       1.411854604866e-05       5.172555800243e+01 
       1.428203110684e-05       5.230477677759e+01 
       1.444740923278e-05       5.289020187046e+01 
       1.461470234717e-05       5.348244193105e+01 
       1.478393262452e-05       5.408101140040e+01 
       1.495512249613e-05       5.468659158450e+01 
       1.512829465302e-05       5.529882737691e+01 
       1.530347204899e-05       5.591788981107e+01 
       1.548067790360e-05       5.654388798051e+01 
       1.565993570529e-05       5.717690142882e+01 
       1.584126921450e-05       5.781673878115e+01 
       1.602470246679e-05       5.846423797983e+01 
       1.621025977604e-05       5.911874608789e+01 
       1.639796573765e-05       5.978056112298e+01 
       1.658784523187e-05       6.044988134738e+01 
       1.677992342700e-05       6.112660654834e+01 
       1.697422578281e-05       6.181093197261e+01 
       1.717077805386e-05       6.250288620073e+01 
       1.736960629294e-05       6.320262634894e+01 
       1.757073685452e-05       6.390999135999e+01 
       1.777419639824e-05       6.462534319005e+01 
       1.798001189244e-05       6.534899787165e+01 
       1.818821061774e-05       6.608048778403e+01 
       1.839882017066e-05       6.682029130440e+01 
       1.861186846726e-05       6.756843841606e+01 
       1.882738374687e-05       6.832487293281e+01 
       1.904539457580e-05       6.908967033747e+01 
       1.926592985115e-05       6.986314568155e+01 
       1.948901880464e-05       7.064534384636e+01 
       1.971469100646e-05       7.143611817304e+01 
       1.994297636921e-05       7.223606494953e+01 
       2.017390515189e-05       7.304452578712e+01 
       2.040750796384e-05       7.386224676436e+01 
