# Matter power spectrum P(k) at redshift z=0.5
# for k=1.03207e-05 to 30.2192 h/Mpc,
# number of wavenumbers equal to 1162
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.032066291311e-05       2.923812341178e+01 
       1.044017055724e-05       2.956544679730e+01 
       1.056106203467e-05       2.989643667293e+01 
       1.068335336944e-05       3.023113200802e+01 
       1.080706077113e-05       3.056957125735e+01 
       1.093220063701e-05       3.091180502289e+01 
       1.105878955424e-05       3.125786339192e+01 
       1.118684430206e-05       3.160779236073e+01 
       1.131638185397e-05       3.196164002823e+01 
       1.144741938003e-05       3.231947093135e+01 
       1.157997424914e-05       3.268129135553e+01 
       1.171406403129e-05       3.304715772675e+01 
       1.184970649993e-05       3.341712473628e+01 
       1.198691963434e-05       3.379123344553e+01 
       1.212572162197e-05       3.416953062352e+01 
       1.226613086085e-05       3.455206203245e+01 
       1.240816596210e-05       3.493888066399e+01 
       1.255184575231e-05       3.533002578389e+01 
       1.269718927608e-05       3.572555059044e+01 
       1.284421579853e-05       3.612548496490e+01 
       1.299294480787e-05       3.652992249372e+01 
       1.314339601798e-05       3.693886866536e+01 
       1.329558937099e-05       3.735239756792e+01 
       1.344954503997e-05       3.777057732113e+01 
       1.360528343157e-05       3.819342420168e+01 
       1.376282518876e-05       3.862100120439e+01 
       1.392219119352e-05       3.905336565497e+01 
       1.408340256965e-05       3.949057142407e+01 
       1.424648068552e-05       3.993267204748e+01 
       1.441144715699e-05       4.037972198943e+01 
       1.457832385016e-05       4.083177656056e+01 
       1.474713288437e-05       4.128888253018e+01 
       1.491789663507e-05       4.175113136333e+01 
       1.509063773681e-05       4.221853408316e+01 
       1.526537908623e-05       4.269116839771e+01 
       1.544214384512e-05       4.316910833323e+01 
       1.562095544345e-05       4.365237734457e+01 
       1.580183758251e-05       4.414106779228e+01 
       1.598481423801e-05       4.463524094354e+01 
       1.616990966334e-05       4.513492449836e+01 
       1.635714839267e-05       4.564021540787e+01 
       1.654655524431e-05       4.615115931056e+01 
       1.673815532392e-05       4.666781902601e+01 
       1.693197402788e-05       4.719026853872e+01 
       1.712803704667e-05       4.771857175353e+01 
       1.732637036821e-05       4.825278244595e+01 
       1.752700028138e-05       4.879296896658e+01 
       1.772995337945e-05       4.933921504120e+01 
       1.793525656364e-05       4.989156120373e+01 
       1.814293704666e-05       5.045009890690e+01 
       1.835302235633e-05       5.101488682309e+01 
       1.856554033924e-05       5.158600356045e+01 
       1.878051916441e-05       5.216350650423e+01 
       1.899798732705e-05       5.274747645345e+01 
       1.921797365233e-05       5.333798077298e+01 
       1.944050729921e-05       5.393510056725e+01 
       1.966561776427e-05       5.453890298750e+01 
       1.989333488566e-05       5.514946086742e+01 
       2.012368884705e-05       5.576686102245e+01 
       2.035671018159e-05       5.639116679662e+01 
       2.059242977602e-05       5.702246367473e+01 
       2.083087887471e-05       5.766082737473e+01 
       2.107208908384e-05       5.830633778480e+01 
       2.131609237554e-05       5.895906942829e+01 
       2.156292109220e-05       5.961911415615e+01 
       2.181260795070e-05       6.028654571275e+01 
       2.206518604676e-05       6.096144840817e+01 
       2.232068885932e-05       6.164390654902e+01 
       2.257915025502e-05       6.233400382059e+01 
       2.284060449262e-05       6.303182714247e+01 
       2.310508622761e-05       6.373745949633e+01 
       2.337263051676e-05       6.445099304515e+01 
       2.364327282276e-05       6.517251408532e+01 
       2.391704901896e-05       6.590211196095e+01 
       2.419399539411e-05       6.663987534016e+01 
       2.447414865714e-05       6.738589981929e+01 
       2.475754594207e-05       6.814027337539e+01 
       2.504422481289e-05       6.890308905493e+01 
       2.533422326858e-05       6.967444987056e+01 
       2.562757974813e-05       7.045444272795e+01 
       2.592433313562e-05       7.124316729152e+01 
       2.622452276538e-05       7.204071851619e+01 
       2.652818842723e-05       7.284719883221e+01 
       2.683537037172e-05       7.366270759809e+01 
       2.714610931549e-05       7.448734417384e+01 
       2.746044644664e-05       7.532121192773e+01 
       2.777842343023e-05       7.616441341678e+01 
       2.810008241375e-05       7.701705215322e+01 
       2.842546603276e-05       7.787923668824e+01 
       2.875461741650e-05       7.875107299433e+01 
       2.908758019364e-05       7.963266848281e+01 
       2.942439849802e-05       8.052413165654e+01 
       2.976511697455e-05       8.142557334054e+01 
       3.010978078510e-05       8.233710536287e+01 
       3.045843561448e-05       8.325884107538e+01 
       3.081112767650e-05       8.419089341437e+01 
       3.116790372013e-05       8.513337904925e+01 
       3.152881103563e-05       8.608641417969e+01 
       3.189389746089e-05       8.705011717711e+01 
       3.226321138771e-05       8.802460712144e+01 
       3.263680176825e-05       8.901000626734e+01 
       3.301471812151e-05       9.000643369122e+01 
       3.339701053990e-05       9.101401275417e+01 
       3.378372969587e-05       9.203287113435e+01 
       3.417492684861e-05       9.306313391083e+01 
       3.457065385089e-05       9.410492953233e+01 
       3.497096315589e-05       9.515838476297e+01 
       3.537590782418e-05       9.622363074330e+01 
       3.578554153073e-05       9.730080106731e+01 
       3.619991857205e-05       9.839002771627e+01 
       3.661909387337e-05       9.949144509921e+01 
       3.704312299592e-05       1.006051912636e+02 
       3.747206214429e-05       1.017314038992e+02 
       3.790596817391e-05       1.028702210328e+02 
       3.834489859856e-05       1.040217841104e+02 
       3.878891159798e-05       1.051862363173e+02 
       3.923806602562e-05       1.063637218812e+02 
       3.969242141641e-05       1.075543875295e+02 
       4.015203799467e-05       1.087583793369e+02 
       4.061697668207e-05       1.099758448681e+02 
       4.108729910574e-05       1.112069371892e+02 
       4.156306760639e-05       1.124518075906e+02 
       4.204434524664e-05       1.137106096070e+02 
       4.253119581931e-05       1.149834992024e+02 
       4.302368385592e-05       1.162706367314e+02 
       4.352187463523e-05       1.175721795846e+02 
       4.402583419187e-05       1.188882892670e+02 
       4.453562932515e-05       1.202191280398e+02 
       4.505132760785e-05       1.215648612460e+02 
       4.557299739524e-05       1.229256542740e+02 
       4.610070783406e-05       1.243016779235e+02 
       4.663452887177e-05       1.256931006254e+02 
       4.717453126578e-05       1.271000946823e+02 
       4.772078659280e-05       1.285228342515e+02 
       4.827336725840e-05       1.299614969148e+02 
       4.883234650654e-05       1.314162590974e+02 
       4.939779842932e-05       1.328873007223e+02 
       4.996979797677e-05       1.343748041751e+02 
       5.054842096682e-05       1.358789549227e+02 
       5.113374409531e-05       1.373999371994e+02 
       5.172584494620e-05       1.389379399421e+02 
       5.232480200181e-05       1.404931530904e+02 
       5.293069465325e-05       1.420657705322e+02 
       5.354360321093e-05       1.436559843411e+02 
       5.416360891522e-05       1.452639927867e+02 
       5.479079394720e-05       1.468899951651e+02 
       5.542524143958e-05       1.485341903401e+02 
       5.606703548767e-05       1.501967851453e+02 
       5.671626116059e-05       1.518779842474e+02 
       5.737300451249e-05       1.535779929537e+02 
       5.803735259400e-05       1.552970243183e+02 
       5.870939346373e-05       1.570352892713e+02 
       5.938921619997e-05       1.587930036190e+02 
       6.007691091248e-05       1.605703852197e+02 
       6.077256875447e-05       1.623676529085e+02 
       6.147628193462e-05       1.641850292176e+02 
       6.218814372935e-05       1.660227384577e+02 
       6.290824849517e-05       1.678810074121e+02 
       6.363669168119e-05       1.697600672839e+02 
       6.437356984177e-05       1.716601500726e+02 
       6.511898064930e-05       1.735814899646e+02 
       6.587302290718e-05       1.755243250443e+02 
       6.663579656289e-05       1.774888955225e+02 
       6.740740272126e-05       1.794754431690e+02 
       6.818794365785e-05       1.814842143306e+02 
       6.897752283251e-05       1.835154565734e+02 
       6.977624490311e-05       1.855694222635e+02 
       7.058421573940e-05       1.876463634498e+02 
       7.140154243702e-05       1.897465376798e+02 
       7.222833333176e-05       1.918702038566e+02 
       7.306469801384e-05       1.940176250346e+02 
       7.391074734251e-05       1.961890663214e+02 
       7.476659346067e-05       1.983847951967e+02 
       7.563234980982e-05       2.006050832302e+02 
       7.650813114501e-05       2.028502043878e+02 
       7.739405355012e-05       2.051204365930e+02 
       7.829023445319e-05       2.074160592056e+02 
       7.919679264204e-05       2.097373564974e+02 
       8.011384827996e-05       2.120846142959e+02 
       8.104152292171e-05       2.144581229720e+02 
       8.197993952953e-05       2.168581745820e+02 
       8.292922248954e-05       2.192850660119e+02 
       8.388949762817e-05       2.217390961840e+02 
       8.486089222884e-05       2.242205691007e+02 
       8.584353504886e-05       2.267297891883e+02 
       8.683755633647e-05       2.292670668038e+02 
       8.784308784810e-05       2.318327147707e+02 
       8.886026286589e-05       2.344270500450e+02 
       8.988921621527e-05       2.370503911815e+02 
       9.093008428289e-05       2.397030632408e+02 
       9.198300503469e-05       2.423853922525e+02 
       9.304811803418e-05       2.450977094015e+02 
       9.412556446093e-05       2.478403483466e+02 
       9.521548712929e-05       2.506136472876e+02 
       9.631803050734e-05       2.534179481204e+02 
       9.743334073600e-05       2.562535960718e+02 
       9.856156564844e-05       2.591209406151e+02 
       9.970285478965e-05       2.620203349722e+02 
       1.008573594363e-04       2.649521361029e+02 
       1.020252326166e-04       2.679167051038e+02 
       1.032066291311e-04       2.709144065738e+02 
       1.044017055724e-04       2.739456101018e+02 
       1.056106203467e-04       2.770106883815e+02 
       1.068335336944e-04       2.801100181733e+02 
       1.080706077113e-04       2.832439816777e+02 
       1.093220063701e-04       2.864129635673e+02 
       1.105878955424e-04       2.896173540490e+02 
