# Matter power spectrum P(k) at redshift z=0.5
# for k=1.02269e-05 to 30.2913 h/Mpc,
# number of wavenumbers equal to 1163
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.022687392990e-05       3.072697858498e+01 
       1.034529554880e-05       3.107097135414e+01 
       1.046508842541e-05       3.141881512396e+01 
       1.058626843816e-05       3.177055300593e+01 
       1.070885164932e-05       3.212622859167e+01 
       1.083285430717e-05       3.248588596228e+01 
       1.095829284812e-05       3.284956969143e+01 
       1.108518389892e-05       3.321732470046e+01 
       1.121354427884e-05       3.358919678882e+01 
       1.134339100191e-05       3.396522467160e+01 
       1.147474127917e-05       3.434546964463e+01 
       1.160761252096e-05       3.472997135958e+01 
       1.174202233921e-05       3.511877755348e+01 
       1.187798854981e-05       3.551193712008e+01 
       1.201552917492e-05       3.590949819272e+01 
       1.215466244541e-05       3.631151465229e+01 
       1.229540680324e-05       3.671802625904e+01 
       1.243778090392e-05       3.712908867113e+01 
       1.258180361900e-05       3.754474681003e+01 
       1.272749403851e-05       3.796507039456e+01 
       1.287487147357e-05       3.839008704285e+01 
       1.302395545890e-05       3.881987429993e+01 
       1.317476575542e-05       3.925446662443e+01 
       1.332732235287e-05       3.969391848822e+01 
       1.348164547246e-05       4.013829563530e+01 
       1.363775556956e-05       4.058764752667e+01 
       1.379567333638e-05       4.104202985057e+01 
       1.395541970477e-05       4.150149891707e+01 
       1.411701584892e-05       4.196611167350e+01 
       1.428048318823e-05       4.243592544734e+01 
       1.444584339011e-05       4.291099684345e+01 
       1.461311837289e-05       4.339139768502e+01 
       1.478233030869e-05       4.387716077662e+01 
       1.495350162635e-05       4.436836624872e+01 
       1.512665501446e-05       4.486507245552e+01 
       1.530181342430e-05       4.536735002815e+01 
       1.547900007294e-05       4.587524075535e+01 
       1.565823844628e-05       4.638880708047e+01 
       1.583955230216e-05       4.690813195152e+01 
       1.602296567354e-05       4.743326924889e+01 
       1.620850287166e-05       4.796429068387e+01 
       1.639618848929e-05       4.850125661813e+01 
       1.658604740393e-05       4.904423388524e+01 
       1.677810478120e-05       4.959328583688e+01 
       1.697238607808e-05       5.014847453264e+01 
       1.716891704636e-05       5.070988759070e+01 
       1.736772373599e-05       5.127758348013e+01 
       1.756883249858e-05       5.185163835729e+01 
       1.777226999090e-05       5.243211976326e+01 
       1.797806317836e-05       5.301909877497e+01 
       1.818623933861e-05       5.361265037527e+01 
       1.839682606519e-05       5.421284435944e+01 
       1.860985127114e-05       5.481975899067e+01 
       1.882534319272e-05       5.543347165003e+01 
       1.904333039315e-05       5.605404683844e+01 
       1.926384176639e-05       5.668157284077e+01 
       1.948690654099e-05       5.731612180769e+01 
       1.971255428395e-05       5.795777402465e+01 
       1.994081490463e-05       5.860660816175e+01 
       2.017171865872e-05       5.926270816358e+01 
       2.040529615227e-05       5.992615160941e+01 
       2.064157834573e-05       6.059702137931e+01 
       2.088059655804e-05       6.127540177216e+01 
       2.112238247080e-05       6.196137752894e+01 
       2.136696813248e-05       6.265502794567e+01 
       2.161438596264e-05       6.335644608721e+01 
       2.186466875625e-05       6.406571819009e+01 
       2.211784968802e-05       6.478292869763e+01 
       2.237396231681e-05       6.550816716093e+01 
       2.263304059007e-05       6.624152474026e+01 
       2.289511884835e-05       6.698309147078e+01 
       2.316023182983e-05       6.773295701585e+01 
       2.342841467495e-05       6.849122164274e+01 
       2.369970293106e-05       6.925797197345e+01 
       2.397413255712e-05       7.003330532428e+01 
       2.425173992849e-05       7.081731748817e+01 
       2.453256184172e-05       7.161010825842e+01 
       2.481663551944e-05       7.241176780466e+01 
       2.510399861532e-05       7.322240780738e+01 
       2.539468921903e-05       7.404209115760e+01 
       2.568874586128e-05       7.487100444601e+01 
       2.598620751898e-05       7.570917298498e+01 
       2.628711362033e-05       7.655672162541e+01 
       2.659150405012e-05       7.741375739920e+01 
       2.689941915497e-05       7.828038742794e+01 
       2.721089974870e-05       7.915671563133e+01 
       2.752598711771e-05       8.004285782204e+01 
       2.784472302650e-05       8.093891707736e+01 
       2.816714972316e-05       8.184500728157e+01 
       2.849330994501e-05       8.276123937174e+01 
       2.882324692423e-05       8.368772739738e+01 
       2.915700439361e-05       8.462458637172e+01 
       2.949462659235e-05       8.557193216184e+01 
